valid_from;valid_to;index_symbol;dj_id;weightfactor;capfactor;description;not_rep_before
20250324;99991231;SXXFLVE;453456;391741037;1;;
20250324;99991231;SXXFLVE;407023;20413413;1;;
20250324;99991231;SXXFLVE;442464;90059446;1;;
20250324;99991231;SXXFLVE;511938;36506346;1;;
20250324;99991231;SXXFLVE;B01BN5;153336350;1;;
20250324;99991231;SXXFLVE;517617;101857096;1;;
20250324;99991231;SXXFLVE;401140;6591317;1;;
20250324;99991231;SXXFLVE;401093;34532277;1;;
20250324;99991231;SXXFLVE;EF024;75754388;1;;
20250324;99991231;SXXFLVE;408930;8545922;1;;
20250324;99991231;SXXFLVE;442031;15482674;1;;
20250324;99991231;SXXFLVE;672716;66667691;1;;
20250324;99991231;SXXFLVE;488082;273993745;1;;
20250324;99991231;SXXFLVE;B0C2CQ;66981948;1;;
20250324;99991231;SXXFLVE;725147;249068058;1;;
20250324;99991231;SXXFLVE;579802;161363333;1;;
20250324;99991231;SXXFLVE;755087;5731851;1;;
20250324;99991231;SXXFLVE;443639;80301130;1;;
20250324;99991231;SXXFLVE;IT506M;116211967;1;;
20250324;99991231;SXXFLVE;477518;10320456;1;;
20250324;99991231;SXXFLVE;458260;18730787;1;;
20250324;99991231;SXXFLVE;ES504F;5004032;1;;
20250324;99991231;SXXFLVE;570151;22821056;1;;
20250324;99991231;SXXFLVE;DE50B7;11437802;1;;
20250324;99991231;SXXFLVE;411515;29631052;1;;
20250324;99991231;SXXFLVE;IT607O;171163420;1;;
20250324;99991231;SXXFLVE;457270;179731913;1;;
20250324;99991231;SXXFLVE;049065;10974657;1;;
20250324;99991231;SXXFLVE;563828;16704034;1;;
20250324;99991231;SXXFLVE;449667;19171542;1;;
20250324;99991231;SXXFLVE;533338;18991818;1;;
20250324;99991231;SXXFLVE;EF2;33500667;1;;
20250324;99991231;SXXFLVE;490541;17935993;1;;
20250324;99991231;SXXFLVE;B1JB4K;10600423;1;;
20250324;99991231;SXXFLVE;481808;8493103;1;;
20250324;99991231;SXXFLVE;759800;261963390;1;;
20250324;99991231;SXXFLVE;431536;44989239;1;;
20250324;99991231;SXXFLVE;B03851;24913372;1;;
20250324;99991231;SXXFLVE;430376;3630300;1;;
20250324;99991231;SXXFLVE;582300;28391511;1;;
20250324;99991231;SXXFLVE;458836;28407049;1;;
20250324;99991231;SXXFLVE;576920;20767498;1;;
20250324;99991231;SXXFLVE;473322;83618986;1;;
20250324;99991231;SXXFLVE;492752;74930723;1;;
20250324;99991231;SXXFLVE;573282;26606770;1;;
20250324;99991231;SXXFLVE;497711;6804767;1;;
20250324;99991231;SXXFLVE;B28DTJ;33698190;1;;
20250324;99991231;SXXFLVE;476776;3676408;1;;
20250324;99991231;SXXFLVE;DE305Z;43368227;1;;
20250324;99991231;SXXFLVE;435209;23080156;1;;
20250324;99991231;SXXFLVE;ES0017;13437829;1;;
20250324;99991231;SXXFLVE;470774;9823719;1;;
20250324;99991231;SXXFLVE;738307;70989384;1;;
20250324;99991231;SXXFLVE;465145;20428876;1;;
20250324;99991231;SXXFLVE;DE8087;17158112;1;;
20250324;99991231;SXXFLVE;411232;20092742;1;;
20250324;99991231;SXXFLVE;449000;46762601;1;;
20250324;99991231;SXXFLVE;936469;8366343;1;;
20250324;99991231;SXXFLVE;549913;399252542;1;;
20250324;99991231;SXXFLVE;465975;22162633;1;;
20250324;99991231;SXXFLVE;475531;15527864;1;;
20250324;99991231;SXXFLVE;FR90GV;28450685;1;;
20250324;99991231;SXXFLVE;476361;3578225;1;;
20250324;99991231;SXXFLVE;441920;12606798;1;;
20250324;99991231;SXXFLVE;B01MJR;7677386;1;;
20250324;99991231;SXXFLVE;453478;2450867;1;;
20250324;99991231;SXXFLVE;424910;8932231;1;;
20250324;99991231;SXXFLVE;461785;20365570;1;;
20250324;99991231;SXXFLVE;711131;18790704;1;;
20250324;99991231;SXXFLVE;DE80DC;9391149;1;;
20250324;99991231;SXXFLVE;705339;15884973;1;;
20250324;99991231;SXXFLVE;481830;11201141;1;;
20250324;99991231;SXXFLVE;505125;30341101;1;;
20250324;99991231;SXXFLVE;444747;23546717;1;;
20250324;99991231;SXXFLVE;B0R7JF;7472533;1;;
20250324;99991231;SXXFLVE;469678;21536778;1;;
20250324;99991231;SXXFLVE;BE601W;103590;1;;
20250324;99991231;SXXFLVE;435435;16751463;1;;
20250324;99991231;SXXFLVE;442990;4871145;1;;
20250324;99991231;SXXFLVE;417754;63076712;1;;
20250324;99991231;SXXFLVE;474184;6071318;1;;
20250324;99991231;SXXFLVE;441930;10340507;1;;
20250324;99991231;SXXFLVE;401225;4954971;1;;
20250324;99991231;SXXFLVE;468232;8069392;1;;
20250324;99991231;SXXFLVE;401190;13105294;1;;
20250324;99991231;SXXFLVE;B09DHL;2429214;1;;
20250324;99991231;SXXFLVE;462220;14830124;1;;
20250324;99991231;SXXFLVE;533004;20564905;1;;
20250324;99991231;SXXFLVE;491062;4376143;1;;
20250324;99991231;SXXFLVE;FR504F;19817930;1;;
20250324;99991231;SXXFLVE;557955;51092627;1;;
20250324;99991231;SXXFLVE;476837;7834027;1;;
20250324;99991231;SXXFLVE;425240;12938742;1;;
20250324;99991231;SXXFLVE;753851;45788208;1;;
20250324;99991231;SXXFLVE;EG7;7102826;1;;
20250324;99991231;SXXFLVE;B234WN;7888591;1;;
20250324;99991231;SXXFLVE;ES406G;7920155;1;;
20250324;99991231;SXXFLVE;B164FY;7964656;1;;
20250324;99991231;SXXFLVE;472370;18364226;1;;
20250324;99991231;SXXFLVE;IT509P;1847093;1;;
